,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
665,Vahak,2017,Bengaluru,Logistics & Transportation,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",3000000.0,Validation,2020-01-01
666,Nutrova,2013,Mumbai,Food & Beverage,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,3000000.0,Early Traction,2020-01-01
667,Cube Wealth,2018,Mumbai,Technology sector,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",500000.0,Scaling,2020-01-01
668,IVF Access,2019,Bengaluru,Health care,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000.0,Early Traction,2020-01-01
669,Hoi Foods,2017,Delhi,Food & Beverage,Quality food solution,Indrajeet Roy,Crowd Fund,2000000.0,Early Traction,2020-01-01
670,Ola Financial Services,2015,Bengaluru,Finance sector,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,27000000.0,Early Traction,2020-01-01
671,Awifs,2015,Delhi,Real Estate & Construction,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.",5200000.0,Early Traction,2020-01-01
672,Dunzo,2014,Bengaluru,Logistics & Transportation,India-based hyperlocal delivery startup,"Kabeer Biswas,  Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,55000000.0,Early Traction,2020-01-01
673,Swiflearn,2019,Gurgaon,Education & Training,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",3000000.0,Validation,2020-01-01
674,Remedo,2017,Delhi,Health care,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,3000000.0,Early Traction,2020-01-01
675,Blowhorn,2014,Bengaluru,Logistics & Transportation,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,3000000.0,Early Traction,2020-01-01
676,Toch,2015,Mumbai,Technology sector,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Early Traction,2020-01-01
677,Gram Cover,2015,Uttar Pradesh,Technology sector,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",3000000.0,Early Traction,2020-01-01
678,Coin DCX,2018,Mumbai,Technology sector,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,2500000.0,Early Traction,2020-01-01
679,HomeCapital,2015,Mumbai,Finance sector,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,3000000.0,Early Traction,2020-01-01
680,Euler Motors,2015,Delhi,Logistics & Transportation,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000.0,Early Traction,2020-01-01
681,Riskcovry,2018,Mumbai,Technology sector,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",3000000.0,Early Traction,2020-01-01
682,NWNT (No Worry No Tension Healthcare),2015,Delhi,Health care,Mental healthtech startup,Sandeep Vohra,Amit Burman,3000000.0,Early Traction,2020-01-01
683,Voicezen,2015,Gurgaon,Technology sector,Conversational AI startup,Anurba Nath,Bharti Airtel,3000000.0,Early Traction,2020-01-01
